"Category","Sub_Category","Part Number","Desc","price","Elig %"
"Hardware","Connectors","CPAK-100G-SR10=","CPAK-100G-SR10 Transceiver module, 100m OM3 MMF","7350.0","1"
"Hardware","Connectors","CPAK-10X10G-LR","CPAK-10X10GLR, Transceiver module, 10 x 10Gb/s 10km SMF","29400.0","1"
"Hardware","Connectors","DWDM-SFP10G-C-S","DWDM Tunable SFP+ Module, Enterprise-Class","12500.0","1"
"Hardware","Connectors","QSFP-40GE-LR4","QSFP 40GBASE-LR4 Transceiver Module, LC, 10KM","13995.0","1"
"Hardware","Connectors","QSFP-4X10G-LR-S","QSFP 4x10G Transceiver Module,SM MPO, 10KM, Enterprise-Class","5995.0","1"
"Hardware","Connectors","QSFP-4X10G-LR-S=","QSFP 4x10G Transceiver Module,SM MPO, 10KM, Enterprise-Class","6442.0","1"
"Hardware","Connectors","SFP-10G-BX40D-I=","SFP+ Bidirectional for 40km, downstream","13554.0","1"
"Hardware","Connectors","SFP-10G-BX40U-I=","SFP+ Bidirectional for 40km, upstream","14449.99","1"
"Hardware","Firewall","ASA5510-MEM-1GB=","1 GB Memory Upgrade for Cisco ASA 5510","350.0","1"
"Hardware","Firewall","ASA5520-MEM-2GB=","2 GB Memory Upgrade for Cisco ASA 5520","737.0","1"
"Hardware","Firewall","ASA5540-MEM-2GB=","2 GB Memory Upgrade for Cisco ASA 5540","650.0","1"
"Hardware","Firewall","ASA5500-CF-256MB=","ASA 5500 Series Compact Flash, 256MB","375.0","1"
"Hardware","Firewall","ASA5500-CF-512MB=","ASA 5500 Series Compact Flash, 512MB","575.0","1"
"Hardware","Firewall","ASA5506-SEC-BUN-K9","ASA 5506 with FirePOWER services and Sec Plus license","1695.0","Cost Allocate (59%)"
"Hardware","Firewall","ASA5506H-PWR-AC=","ASA 5506H-X AC Power Adaptor Spare","172.0","1"
"Hardware","Firewall","ASA5506H-DIN-MNT=","ASA 5506H-X DIN Rail Mount Spare","237.0","1"
"Hardware","Firewall","ASA5506H-RACK-MNT=","ASA 5506H-X Rackmount Kit Spare","437.0","1"
"Hardware","Firewall","ASA5506H-SP-BUN-K9","ASA 5506H-X SEC PLUS Bundle","2995.0","Cost Allocate (33%)"
"Hardware","Firewall","ASA5506H-SSD","ASA 5506H-X SSD","0.0","Cost Allocate (33%)"
"Hardware","Firewall","ASA5506-RACK-MNT=","ASA 5506-X Rackmount Kit Spare","437.0","Cost Allocate (33%)"
"Hardware","Firewall","ASA5506-SEC-BUN-K8","ASA 5506-X with FirePOWER services and Sec Plus License","1695.0","Cost Allocate (59%)"
"Hardware","Firewall","ASA5506-K9","ASA 5506-X with FirePOWER services, 8GE, AC, 3DES/AES","995.0","1"
"Hardware","Firewall","ASA5508-FTD-BUN","ASA 5508-X Firepower Threat Defense Chassis & Subs. Bundle","3595.0","Cost Allocate (37%)"
"Hardware","Firewall","ASA5508-SSD","ASA 5508-X SSD","800.0","1"
"Hardware","Firewall","ASA5508-K9","ASA 5508-X with FirePOWER services, 8GE, AC, 3DES/AES","3595.0","1"
"Hardware","Firewall","ASA-HD-BLANK=","ASA 5512-X -- 5555-X Hard Drive Blank Slot Cover (Spare)","100.0","1"
"Hardware","Firewall","ASA-RAILS","ASA 5512-X -- ASA 5555-X Rail Kit","500.0","1"
"Hardware","Firewall","ASA-RAILS=","ASA 5512-X -- ASA 5555-X Rail Kit (Spare)","500.0","1"
"Hardware","Firewall","ASA5500X-SSD120=","ASA 5512-X through 5555-X 120 GB MLC SED SSD (Spare)","887.0","1"
"Hardware","Firewall","ASA5500X-SSD120INC","ASA 5512-X through 5555-X 120GB MLC SED SSD (Incl.)","651.0","1"
"Hardware","Firewall","ASA-IC-A-BLANK=","ASA 5512-X/5515-X Interface Card Blank Slot Cover?","100.0","1"
"Hardware","Firewall","ASA-IC-6GE-CU-A=","ASA 5512-X/5515-X Intf. Card 6-port 10/100/1000,RJ- 45(Spare)","5250.0","1"
"Hardware","Firewall","ASA-IC-6GE-SFP-A=","ASA 5512-X/5515-X Intf. Card 6-port GE SFP (SX,LH,LX) Spare","6312.0","1"
"Hardware","Firewall","ASA-BRACKETS=","ASA 5512-X/5515-X/5525-X Fixed Brackets (Spare)","112.0","1"
"Hardware","Firewall","ASA5516-BRACKET=","ASA 5516-X Bracket Spare","162.0","1"
"Hardware","Firewall","ASA5516-FIPS-KIT=","ASA 5516-X FIPS KIt","525.0","1"
"Hardware","Firewall","ASA5516-FTD-BUN","ASA 5516-X Firepower Threat Defense Chassis, Subs, Bundle","5995.0","Cost Allocate (97%)"
"Hardware","Firewall","ASA5516-SSD","ASA 5516-X SSD","800.0","1"
"Hardware","Firewall","ASA5516-SSD=","ASA 5516-X SSD","800.0","1"
"Hardware","Firewall","ASA5516-FPWR-K9","ASA 5516-X with FirePOWER services, 8GE, AC, 3DES/AES","5995.0","1"
"Hardware","Firewall","ASA5516-FPWR-K8","ASA 5516-X with FirePOWER services, 8GE, AC, DES","5995.0","1"
"Hardware","Firewall","ASA5525-FTD-BUN","ASA 5525-X Firepower Threat Defense Chassis and Subs. Bundle","10610.02","Cost Allocate (97%)"
"Hardware","Firewall","ASA-IC-6GE-CU-B","ASA 5525-X Interface Card 6-port 10/100/1000, RJ-45","5000.0","1"
"Hardware","Firewall","ASA-IC-6GE-CU-B=","ASA 5525-X Interface Card 6-port 10/100/1000, RJ-45 (Spare)","6350.0","1"
"Hardware","Firewall","ASA-IC-6GE-SFP-B","ASA 5525-X Interface Card 6-port GE SFP (SX,LH,LX)","6000.0","1"
"Hardware","Firewall","ASA-IC-B-BLANK=","ASA 5525-X Interface Card Blank Slot Cover (Spare)?","837.0","1"
"Hardware","Firewall","ASA-IC-6GECU-INC-B","ASA 5525-X Intf. Card 6-port 10/100/1000 (Incl. w/ Bundle)","5000.0","1"
"Hardware","Firewall","ASA-IC-6GE-SFP-B=","ASA 5525-X Intf. Card 6-port GE SFP (SX,LH,LX) Spare","7412.0","1"
"Hardware","Firewall","ASA5525-FPWR-K9","ASA 5525-X with FirePOWER Services, 8GE, AC, 3DES/AES, SSD","10516.51","1"
"Hardware","Firewall","ASA5525-FPWR-K8","ASA 5525-X with FirePOWER Services, 8GE, AC, DES, SSD","10615.52","1"
"Hardware","Firewall","ASA5525-CU-K9","ASA 5525-X with SW, 14GE Data, 1GE Mgmt, 3DES/AES","15796.52","Cost Allocate (64%)"
"Hardware","Firewall","ASA5525-K9","ASA 5525-X with SW, 8GE Data, 1GE Mgmt, AC, 3DES/AES","10225.02","1"
"Hardware","Firewall","ASA5525-K8","ASA 5525-X with SW, 8GE Data, 1GE Mgmt, AC, DES","10175.51","1"
"Hardware","Firewall","ASA5525-K7","ASA 5525-X with SW, 8GE Data, 1GE Mgmt, AC, NPE","10120.51","1"
"Hardware","Firewall","ASA5525-DC-K8","ASA 5525-X with SW, 8GE Data, 1GE Mgmt, DC, DES","12034.52","1"
"Hardware","Firewall","ASA5545-FTD-BUN","ASA 5545-X Firepower Threat Defense Chassis and Subs Bundle","21170.02","Cost Allocate (97%)"
"Hardware","Firewall","ASA5545-FPWR-K9","ASA 5545-X with FirePOWER Services, 8GE, AC, 3DES/AES, 2SSD","21170.02","1"
"Hardware","Firewall","ASA5545-FPWR-K8","ASA 5545-X with FirePOWER Services, 8GE, AC, DES, 2SSD","20944.51","1"
"Hardware","Firewall","ASA5545-CU-2AC-K9","ASA 5545-X with SW, 14GE Data, 1GE Mgmt, 2AC, 3DES/AES","27627.0","Cost Allocate (73%)"
"Hardware","Firewall","ASA5545-K9","ASA 5545-X with SW, 8GE Data, 1GE Mgmt, AC, 3DES/AES","20416.52","1"
"Hardware","Firewall","ASA5545-K8","ASA 5545-X with SW, 8GE Data, 1GE Mgmt, AC, DES","20372.52","1"
"Hardware","Firewall","ASA5545-K7","ASA 5545-X with SW, 8GE Data, 1GE Mgmt, AC, NPE","19795.0","1"
"Hardware","Firewall","ASA5545-DC-K8","ASA 5545-X with SW, 8GE Data, 1GE Mgmt, DC, DES","24437.01","1"
"Hardware","Firewall","ASA-PWR-AC","ASA 5545-X/5555-X AC Power Supply","1500.0","1"
"Hardware","Firewall","ASA-PWR-AC=","ASA 5545-X/5555-X AC Power Supply","2125.0","1"
"Hardware","Firewall","ASA-PWR-DC=","ASA 5545-X/5555-X DC Power Supply?","3750.0","1"
"Hardware","Firewall","ASA-IC-6GE-CU-C","ASA 5545-X/5555-X Interface Card 6-port 10/100/1000, RJ- 45","5000.0","1"
"Hardware","Firewall","ASA-IC-6GE-SFP-C","ASA 5545-X/5555-X Interface Card 6-port GE SFP (SX,LH,LX)","6000.0","1"
"Hardware","Firewall","ASA-IC-C-BLANK=","ASA 5545-X/5555-X Interface Card Blank Slot Cover (Spare)","875.0","1"
"Hardware","Firewall","ASA-IC-6GECU-INC-C","ASA 5545-X/5555-X Intf Card 6-port 10/100/1000 (Incl w/ Bdl)","5000.0","1"
"Hardware","Firewall","ASA-IC-6GE-CU-C=","ASA 5545-X/5555-X Intf. Card 6-port 10/100/1000,RJ- 45(Spare)","6362.0","1"
"Hardware","Firewall","ASA-IC-6GE-SFP-C=","ASA 5545-X/5555-X Intf. Card 6-port GE SFP (SX,LH,LX) Spare","7425.0","1"
"Hardware","Firewall","ASA-PWR-BLANK","ASA 5545-X/5555-X Power Slot Blank Cover","100.0","1"
"Hardware","Firewall","ASA-PWR-BLANK=","ASA 5545-X/5555-X Power Slot Blank Cover","100.0","1"
"Hardware","Firewall","ASA5555-FTD-BUN","ASA 5555-X Firepower Threat Defense Chassis and Subs. Bundle","28738.01","Cost Allocate (98%)"
"Hardware","Firewall","ASA5555-FPWR-K9","ASA 5555-X with FirePOWER Services, 8GE, AC, 3DES/AES, 2SSD","28875.51","1"
"Hardware","Firewall","ASA5555-FPWR-K8","ASA 5555-X with FirePOWER Services, 8GE, AC, DES, 2SSD","29007.51","1"
"Hardware","Firewall","ASA5555-CU-2AC-K9","ASA 5555-X with SW, 14GE Data, 1GE Mgmt, 2AC, 3DES/AES","35585.51","Cost Allocate (79%)"
"Hardware","Firewall","ASA5555-K7","ASA 5555-X with SW, 8 GE Data, 1 GE Mgmt","27970.0","1"
"Hardware","Firewall","ASA5555-K9","ASA 5555-X with SW, 8GE Data, 1GE Mgmt, AC, 3DES/AES","28298.02","1"
"Hardware","Firewall","ASA5555-K8","ASA 5555-X with SW, 8GE Data, 1GE Mgmt, AC, DES","28325.51","1"
"Hardware","Firewall","ASA5555-DC-K8","ASA 5555-X with SW, 8GE Data, 1GE Mgmt, DC, DES","32010.52","1"
"Hardware","Firewall","ASA5508-FTD-K9","ASA 5508-X with Firepower Threat Defense, 8GE, AC","3595.0","1"
"Hardware","Firewall","ASA5516-FTD-K9","ASA 5516-X with Firepower Threat Defense, 8GE, AC","5995.0","1"
"Hardware","Firewall","ASA5525-FTD-K9","ASA 5525-X with Firepower Threat Defense, 8GE, AC","10610.02","1"
"Hardware","Firewall","ASA5545-FTD-K9","ASA 5545-X with Firepower Threat Defense, 8GE, AC","21170.02","1"
"Hardware","Firewall","ASA5555-FTD-K9","ASA 5555-X with Firepower Threat Defense, 8GE, AC","28738.01","1"
"Hardware","Firewall","FPR9K-SM-36","Firepower 9000 Series High Performance Security Module","299995.0","1"
"Hardware","Firewall","FPR9K-SM-36=","Firepower 9000 Series High Performance Security Module Spare","299995.0","1"
"Hardware","Firewall","FPR9K-SM-24","Firepower 9000 Series Security Module","199995.0","1"
"Hardware","Firewall","FPR9K-SM-24=","Firepower 9000 Series Security Module Spare","199995.0","1"
"Hardware","Firewall","FPR9K-SUP=","Firepower 9000 Series Supervisor","29995.0","1"
"Hardware","Firewall","FPR-C9300-AC","Firepower 9300 Chassis for AC Power Supply, 0 PSU/4 fans","29995.0","1"
"Hardware","Firewall","FPR9K-DNM-2X100G","Cisco FirePower 2 port 100G Network Module, Double Width","124995.0","1"
"Hardware","Firewall","FPR9K-DNM-2X100G=","Cisco FirePower 2 port 100G Network Module, Double Width","124995.0","1"
"Hardware","Firewall","FPR4K-NM-2X40G-F","Cisco FirePower 2 port 40G SR FTW Network Module","59995.0","1"
"Hardware","Firewall","FPR4K-NM-2X40G-F=","Cisco FirePower 2 port 40G SR FTW Network Module","59995.0","1"
"Hardware","Firewall","FPR9K-NM-2X40G-F","Cisco FirePower 2 port 40G SR FTW Network Module","59995.0","1"
"Hardware","Firewall","FPR9K-NM-2X40G-F=","Cisco FirePower 2 port 40G SR FTW Network Module","59995.0","1"
"Hardware","Firewall","FPR2110-NGFW-K9","Cisco Firepower 2110 NGFW Appliance, 1U","10995.0","1"
"Hardware","Firewall","FPR2120-NGFW-K9","Cisco Firepower 2120 NGFW Appliance, 1U","19995.0","1"
"Hardware","Firewall","FPR2130-NGFW-K9","Cisco Firepower 2130 NGFW Appliance, 1U, 1 x NetMod Bay","29995.0","1"
"Hardware","Firewall","FPR2140-NGFW-K9","Cisco Firepower 2140 NGFW Appliance, 1U, 1 x NetMod Bay","64995.0","1"
"Hardware","Firewall","FPR4K-NM-4X40G","Cisco FirePower 4 port QSFP+ Network Module","79995.0","1"
"Hardware","Firewall","FPR4K-NM-4X40G=","Cisco FirePower 4 port QSFP+ Network Module","79995.0","1"
"Hardware","Firewall","FPR4110-AMP-K9","Cisco Firepower 4110 AMP Appliance, 1U, 2 x NetMod Bays","89995.0","1"
"Hardware","Firewall","FPR4110-ASA-K9","Cisco Firepower 4110 ASA Appliance, 1U, 2 x NetMod Bays","89995.0","1"
"Hardware","Firewall","FPR4110-NGFW-K9","Cisco Firepower 4110 NGFW Appliance, 1U, 2 x NetMod Bays","89995.0","1"
"Hardware","Firewall","FPR4110-NGIPS-K9","Cisco Firepower 4110 NGIPS Appliance, 1U, 2 x NetMod Bays","89995.0","1"
"Hardware","Firewall","FPR4120-AMP-K9","Cisco Firepower 4120 AMP Appliance, 1U, 2 x NetMod Bays","149995.0","1"
"Hardware","Firewall","FPR4120-ASA-K9","Cisco Firepower 4120 ASA Appliance, 1U, 2 x NetMod Bays","149995.0","1"
"Hardware","Firewall","FPR4120-NGFW-K9","Cisco Firepower 4120 NGFW Appliance, 1U, 2 x NetMod Bays","149995.0","1"
"Hardware","Firewall","FPR4120-NGIPS-K9","Cisco Firepower 4120 NGIPS Appliance, 1U, 2 x NetMod Bays","149995.0","1"
"Hardware","Firewall","FPR4140-AMP-K9","Cisco Firepower 4140 AMP Appliance, 1U, 2 x NetMod Bays","209995.0","1"
"Hardware","Firewall","FPR4140-ASA-K9","Cisco Firepower 4140 ASA Appliance, 1U, 2 x NetMod Bays","209995.0","1"
"Hardware","Firewall","FPR4140-NGFW-K9","Cisco Firepower 4140 NGFW Appliance, 1U, 2 x NetMod Bays","209995.0","1"
"Hardware","Firewall","FPR4140-NGIPS-K9","Cisco Firepower 4140 NGIPS Appliance, 1U, 2 x NetMod Bays","209995.0","1"
"Hardware","Firewall","FPR4150-AMP-K9","Cisco Firepower 4150 AMP Appliance, 1U, 2 x NetMod Bays","249995.0","1"
"Hardware","Firewall","FPR4150-ASA-K9","Cisco Firepower 4150 ASA Appliance, 1U, 2 x NetMod Bays","249995.0","1"
"Hardware","Firewall","FPR4150-NGFW-K9","Cisco Firepower 4150 NGFW Appliance, 1U, 2 x NetMod Bays","249995.0","1"
"Hardware","Firewall","FPR4150-NGIPS-K9","Cisco Firepower 4150 NGIPS Appliance, 1U, 2 x NetMod Bays","249995.0","1"
"Hardware","Firewall","FPR4K-NM-6X10LR-F","Cisco FirePower 6 port 10G LR FTW Network Module","34995.0","1"
"Hardware","Firewall","FPR4K-NM-6X10LR-F=","Cisco FirePower 6 port 10G LR FTW Network Module","34995.0","1"
"Hardware","Firewall","FPR9K-NM-6X10LR-F","Cisco FirePower 6 port 10G LR FTW Network Module","34995.0","1"
"Hardware","Firewall","FPR9K-NM-6X10LR-F=","Cisco FirePower 6 port 10G LR FTW Network Module","34995.0","1"
"Hardware","Firewall","FPR4K-NM-6X10SR-F=","Cisco FirePower 6 port 10G SR FTW Network Module","29995.0","1"
"Hardware","Firewall","FPR9K-NM-6X10SR-F","Cisco FirePower 6 port 10G SR FTW Network Module","29995.0","1"
"Hardware","Firewall","FPR9K-NM-6X10SR-F=","Cisco FirePower 6 port 10G SR FTW Network Module","29995.0","1"
"Hardware","Firewall","FPR4K-NM-6X10SR-F","Cisco FirePower 6 port 10G SR FTW Network Module","31043.0","1"
"Hardware","Firewall","FPR4K-NM-6X1SX-F","Cisco FirePower 6 port 1G SX Fiber FTW Network Module","15995.0","1"
"Hardware","Firewall","FPR4K-NM-6X1SX-F=","Cisco FirePower 6 port 1G SX Fiber FTW Network Module","15995.0","1"
"Hardware","Firewall","FPR9K-NM-6X1SX-F=","Cisco FirePower 6 port 1G SX Fiber FTW Network Module","15995.0","1"
"Hardware","Firewall","FPR4K-NM-8X1G-F","Cisco FirePower 8 port 1G Copper FTW Network Module","9995.0","1"
"Hardware","Firewall","FPR4K-NM-8X1G-F=","Cisco FirePower 8 port 1G Copper FTW Network Module","9995.0","1"
"Hardware","Firewall","FPR2K-NM-8X10G","Cisco Firepower 8 port SFP+ Network Module","39995.0","1"
"Hardware","Firewall","FPR4K-NM-8X10G","Cisco FirePower 8 port SFP+ Network Module","39995.0","1"
"Hardware","Firewall","FPR4K-NM-8X10G=","Cisco FirePower 8 port SFP+ Network Module","39995.0","1"
"Hardware","Firewall","FPR2K-CBL-MGMT","Firepower 2000 Cable Mgmt Brackets","395.0","1"
"Hardware","Firewall","FPR2K-PWR-DC-350","Firepower 2000 Series 350W DC Power Supply","4000.0","1"
"Hardware","Firewall","FPR2K-PWR-AC-400","Firepower 2000 Series 400W AC Power Supply","2500.0","1"
"Hardware","Firewall","FPR2K-FAN","Firepower 2000 Series Fan Tray","1000.0","1"
"Hardware","Firewall","FPR2K-NM-BLANK","Firepower 2000 Series Network Module Blank Slot Cover","50.0","1"
"Hardware","Firewall","FPR2K-SSD100","Firepower 2000 Series SSD for FPR-2110/2120","995.0","1"
"Hardware","Firewall","FPR2K-SSD100=","Firepower 2000 Series SSD for FPR-2110/2120","995.0","1"
"Hardware","Firewall","FPR2K-SSD200","Firepower 2000 Series SSD for FPR-2130/2140","1495.0","1"
"Hardware","Firewall","FPR2K-SSD-BBLKD","Firepower 2000 Series SSD Slot Carrier","125.0","1"
"Hardware","Firewall","FPR2K-SLIDE-RAILS","Firepower 2000 Slide Rail Kit","395.0","1"
"Hardware","Firewall","FPR4K-PWR-AC-1100","Firepower 4000 Series 1100W AC Power Supply","3995.0","1"
"Hardware","Firewall","FPR4K-PWR-AC-1100=","Firepower 4000 Series 1100W AC Power Supply","4395.0","1"
"Hardware","Firewall","FPR4K-PWR-DC-950=","Firepower 4000 Series 950W DC Power Supply","6745.0","1"
"Hardware","Firewall","FPR4K-PWR-DC-950","Firepower 4000 Series 950W DC Power Supply","6995.0","1"
"Hardware","Firewall","FPR4K-PSU-BLANK","Firepower 4000 Series Chassis Power Supply Blank Slot Cover","100.0","1"
"Hardware","Firewall","FPR4K-PSU-BLANK=","Firepower 4000 Series Chassis Power Supply Blank Slot Cover","104.0","1"
"Hardware","Firewall","FPR4K-FAN","Firepower 4000 Series Fan","395.0","1"
"Hardware","Firewall","FPR4K-FAN=","Firepower 4000 Series Fan","420.0","1"
"Hardware","Firewall","FPR4K-NM-BLANK","Firepower 4000 Series Network Module Blank Slot Cover","100.0","1"
"Hardware","Firewall","FPR4K-NM-BLANK=","Firepower 4000 Series Network Module Blank Slot Cover","104.0","1"
"Hardware","Firewall","FPR4K-RACK-MNT","Firepower 4000 Series Rack Mount Kit","395.0","1"
"Hardware","Firewall","FPR4K-RACK-MNT=","Firepower 4000 Series Rack Mount Kit","457.0","1"
"Hardware","Firewall","FPR4K-SSD200","Firepower 4000 Series SSD for FPR-4110/4120","6193.0","1"
"Hardware","Firewall","FPR4K-SSD200=","Firepower 4000 Series SSD for FPR-4110/4120","6196.0","1"
"Hardware","Firewall","FPR4K-SSD400","Firepower 4000 Series SSD for FPR-4140/4150","10995.0","1"
"Hardware","Firewall","FPR4K-SSD400=","Firepower 4000 Series SSD for FPR-4140/4150","11341.0","1"
"Hardware","Firewall","FPR4K-SSD-BBLKD","Firepower 4000 Series SSD Slot Carrier","125.0","1"
"Hardware","Firewall","FPR4K-SSD-BBLKD=","Firepower 4000 Series SSD Slot Carrier","130.0","1"
"Hardware","Firewall","FPR9K-NM-4X40G","Firepower 9000 Series - 4 port QSFP+ Network Module","79995.0","1"
"Hardware","Firewall","FPR9K-NM-4X40G=","Firepower 9000 Series - 4 port QSFP+ Network Module","79995.0","1"
"Hardware","Firewall","FPR9K-NM-8X10G","Firepower 9000 Series - 8 port SFP+ Network Module","39995.0","1"
"Hardware","Firewall","FPR9K-NM-8X10G=","Firepower 9000 Series - 8 port SFP+ Network Module","39995.0","1"
"Hardware","Firewall","FPR9K-SM-S800GS1=","Firepower 9000 Series 800GB SSD for Security Module","34995.0","1"
"Hardware","Firewall","FPR9K-PS-AC=","Firepower 9000 Series AC Power Supply","5832.0","1"
"Hardware","Firewall","FPR9K-PS-DC=","Firepower 9000 Series DC Power Supply","10950.0","1"
"Hardware","Firewall","FPR9K-FAN","Firepower 9000 Series Fan","0.0","1"
"Hardware","Firewall","FPR9K-FAN=","Firepower 9000 Series Fan","1082.0","1"
"Hardware","Firewall","FPR9K-NM-BLANK","Firepower 9000 Series Network Module Blank Slot Cover","0.0","1"
"Hardware","Firewall","FPR9K-NM-BLANK=","Firepower 9000 Series Network Module Blank Slot Cover","115.0","1"
"Hardware","Firewall","FPR9K-RMK","Firepower 9000 Series Rack Mount Kit","0.0","1"
"Hardware","Firewall","FPR9K-RMK=","Firepower 9000 Series Rack Mount Kit","5345.0","1"
"Hardware","Firewall","FPR9K-SM-BLANK","Firepower 9000 Series Security Module Blank Slot Cover","0.0","1"
"Hardware","Firewall","FPR9K-SM-BLANK=","Firepower 9000 Series Security Module Blank Slot Cover","113.0","1"
"Hardware","Firewall","FPR9K-SUP","Firepower 9000 Series Supervisor","29995.0","1"
"Hardware","Firewall","FPR9K-SM-44","Firepower 9000 Series Ultra High Performance Security Module","349995.0","1"
"Hardware","Firewall","FPR-C9300-AC=","Firepower 9300 Chassis for AC Power Supply, 0 PSU/4 fans","29995.0","1"
"Hardware","Firewall","FPR-C9300-DC","Firepower 9300 Chassis for DC Power Supply, 2 PSU/4 fans","29995.0","1"
"Hardware","Firewall","FPR-C9300-DC=","Firepower 9300 empty Chassis for DC power 0Fan/0PS","29995.0","1"
"Hardware","Firewall","FPR4K-ACC-KIT","FPR4K Hardware Accessory Kit (Rack Mounts, Cables)","175.0","1"
"Hardware","Firewall","FPR4K-ACC-KIT=","FPR4K Hardware Accessory Kit (Rack Mounts, Cables)","200.0","1"
"Hardware","Firewall","VSG-VNMCP1K9-CD","VSG and VNMC software on a CD","49.0","1"
"Hardware","Routers","WIM-1T","Cisco 800M Router 1-Port Serial WAN Interface Module","500.0","1"
"Hardware","Routers","ASR1009X-ACS=","Cisco ASR1009-X Accessory Kit","1287.0","1"
"Hardware","Routers","C1A1TCAT93001-7Y","C1 Advantage Term C9300 24P 7Y - DNA, 25 ISE PLS, 25 SWATCH","6110.0","Cost Allocate (46%)"
"Hardware","Routers","C1A1TCAT93002-7Y","C1 Advantage Term C9300 48P 7Y - DNA, 25 ISE PLS, 25 SWATCH","9940.0","Cost Allocate (53%)"
"Hardware","Routers","C9300-DNA-A-24-3Y","C9300 DNA Advantage, 24-Port, 3 Year Term License","2010.0","Cost Allocate (65%)"
"Hardware","Routers","C9300-DNA-A-24-5Y","C9300 DNA Advantage, 24-Port, 5 Year Term License","3350.0","Cost Allocate (65%)"
"Hardware","Routers","C9300-DNA-A-48-3Y","C9300 DNA Advantage, 48-Port, 3 Year Term License","3770.0","Cost Allocate (65%)"
"Hardware","Routers","C9300-DNA-A-48-5Y","C9300 DNA Advantage, 48-Port, 5 Year Term License","6280.0","Cost Allocate (65%)"
"Hardware","Routers","C9300-NM-2Q","Catalyst 9300 2 x 40GE Network Module","2550.0","1"
"Hardware","Routers","C9300-NM-2Q=","Catalyst 9300 2 x 40GE Network Module, spare","2550.0","1"
"Hardware","Routers","C9300-NM-4G","Catalyst 9300 4 x 1GE Network Module","510.0","1"
"Hardware","Routers","C9300-NM-4G=","Catalyst 9300 4 x 1GE Network Module, spare","530.0","1"
"Hardware","Routers","C9300-NM-8X","Catalyst 9300 8 x 10GE Network Module","2550.0","1"
"Hardware","Routers","C9300-NM-8X=","Catalyst 9300 8 x 10GE Network Module, spare","2645.0","1"
"Hardware","Routers","ANT-MP2-I-O-SS-M","Multi Purpose Int. Antenna,2qty & Int. Coax cables w/ 4G","200.0","1"
"Hardware","Routers","C1111-8PWB","ISR 1100 8 Ports Dual GE Ethernet Router w/ 802.11ac -B WiFi","1932.0","1"
"Hardware","Routers","SPA-8X1GE-V2","Cisco 8-Port Gigabit Ethernet Shared Port Adapter","25000.0","1"
"Hardware","Routers","SPA-8X1GE-V2=","Cisco 8-Port Gigabit Ethernet Shared Port Adapter","28750.0","1"
