item_no,sku,qty,description,product_family,product_type,product_dimension,ports,port_speed,poe_type,stacking,management,switch_layer,power_consumption,flash_memory,buffer_memory,throughput,latency,management_interface,network_interface,performance_tier,service_category,list_price_usd,street_price_usd,partner_price_usd,warranty_period,support_type,processor,operating_temp,storage_temp,humidity,compliance,package_contents,width,depth,height,weight_kg,availability,end_of_sale,orderability,duration,item_identifier,service_program,sheet,workbook,family,commercial_name,product_line,dimension,subscription_type,offer_type,product_name,wifi_standard,indoor_outdoor,antenna,radios,max_throughput,poe,controller_compat,eol_status,release_year
26,C9300-48UN-M,1,"C9300 48-port of 5Gbps, UPOE, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,1G,,No,Cloud Managed,L3,245,512MB,1MB,400Gbps,1.5μs,"USB, Network",48 x 1G Ethernet,Essential,CORE,3646.14,3397.628059194723,2698.673621648762,5 Years,24HR,x86 1.0GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",38.66,21.6,3.86,4.13,In Stock,EoS,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 48-port of 5Gbps, UPOE, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
24,C9300-48UXM-M,1,"C9300 48port (12mGig&36 2.5Gbps), UPOE, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,,Yes,On-Prem,L2,617,512MB,2MB,400Gbps,1.5μs,"USB, Network",48 x 10G Ethernet,Premium,CORE,1517.55,1436.555304149175,1062.468730109096,3 Years,24HR,x86 1.8GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",27.63,28.17,4.73,9.56,Out of Stock,Active,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 48port (12mGig&36 2.5Gbps), UPOE, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
17,C9300-NM-2Q-M,1,"C9300 2 x 40GE Network Module, w/MERAKI",Switches,Meraki MS Hardware,Accessory,8,1G,,Yes,On-Prem,L2,938,64MB,8MB,100Gbps,1.5μs,"Console, USB, Network",8 x 1G Ethernet,Performance,CORE,8018.64,6917.546594412236,6454.511760964633,5 Years,Next Day,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",33.64,38.09,1.37,4.75,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 2 x 40GE Network Module, w/MERAKI",,Accessory,,,,,,,,,,,,
863,C9300-NM-2Y-M,1,"C9300 2-port 1/10/25G Network Module, w/MERAKI",Switches,MS Accessory,Accessory,8,1G,,No,Controller,L2,525,256MB,1MB,50Gbps,1.5μs,"Console, USB, Network",8 x 1G Ethernet,Premium,CORE,2594.67,2373.204658197114,1878.164585635188,5 Years,24HR,ARM 1.5GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",19.51,32.05,4.91,8.01,In Stock,EoS,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 2-port 1/10/25G Network Module, w/MERAKI",,Accessory,,,,,,,,,,,,
29,C9300-NM-8X-M,1,"C9300 8 x 10GE Network Module, w/MERAKI",Switches,Meraki MS Hardware,Accessory,8,10G,,No,Cloud Managed,L3,126,64MB,8MB,50Gbps,2.0μs,"Console, Network",8 x 10G Ethernet,Essential,CORE,4139.34,3623.435794574764,3500.926409046992,1 Year,24HR,x86 1.0GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supplies (2), Quick Start Guide",15.47,29.23,4.35,12.19,Out of Stock,Active,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300 8 x 10GE Network Module, w/MERAKI",,Accessory,,,,,,,,,,,,
32,C9300L-24P-4X-M,1,"C9300L 24-port PoE, 4x10G Uplink, 715wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,24,10G,PoE+,Yes,On-Prem,L3,802,64MB,2MB,200Gbps,1.5μs,"Console, USB, Network",24 x 10G Ethernet,Premium,CORE,11627.85,10687.40693763976,9861.430179392635,5 Years,NBD,x86 1.8GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",44.03,24.78,1.23,7.48,In Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 24-port PoE, 4x10G Uplink, 715wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
31,C9300L-24T-4X-M,1,"C9300L 24-port data, 4x10G Uplink, 350wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,24,10G,,Yes,Cloud Managed,L2,63,512MB,4MB,400Gbps,2.0μs,"Console, USB, Network",24 x 10G Ethernet,Premium,CORE,2593.91,2329.290052754065,2000.99058653422,5 Years,24HR,ARM 1.5GHz,-5 to 45°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",16.68,37.47,4.22,8.01,Out of Stock,EoS,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 24-port data, 4x10G Uplink, 350wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
33,C9300L-24UXG-4X-M,1,"C9300L 24-port, 8mGig, 4x10G Uplink, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,24,10G,,Yes,Cloud Managed,L2,124,256MB,2MB,200Gbps,1.5μs,"Console, USB, Network",24 x 10G Ethernet,Essential,CORE,12829.83,11462.07514037719,10292.70440149692,1 Year,24HR,x86 1.8GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",25.4,26.71,3.12,12.04,Out of Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 24-port, 8mGig, 4x10G Uplink, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
37,C9300L-48P-4X-M,1,"C9300L 48-port PoE, 4x10G Uplink, 715wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,PoE++,Yes,On-Prem,L2,410,256MB,8MB,400Gbps,3.0μs,"USB, Network",48 x 10G Ethernet,Premium,CORE,23275.8,20094.22227948231,17872.99600449133,Lifetime,24HR,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",41.81,31.99,2.61,13.22,Limited Stock,EoS,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 48-port PoE, 4x10G Uplink, 715wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
36,C9300L-48PF-4X-M,1,"C9300L 48-port Full PoE, 4x10G Uplink, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,PoE+,No,Cloud Managed,L2,709,256MB,4MB,200Gbps,1.5μs,"USB, Network",48 x 10G Ethernet,Performance,CORE,4330.55,4002.219716379022,3144.372759468411,5 Years,Next Day,x86 1.8GHz,0 to 40°C,-40 to 70°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",17.86,27.77,4.47,9.99,Out of Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 48-port Full PoE, 4x10G Uplink, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
35,C9300L-48T-4X-M,1,"C9300L 48-port data, 4x10G Uplink, 350wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,,No,Cloud Managed,L3,922,512MB,8MB,100Gbps,1.5μs,"Console, USB, Network",48 x 10G Ethernet,Essential,CORE,499.74,460.192472844699,407.6546091338893,Lifetime,24HR,x86 1.0GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",22.34,35.69,4.8,9.62,Limited Stock,EoL,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 48-port data, 4x10G Uplink, 350wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
38,C9300L-48UXG-4X-M,1,"C9300L 48-port, 12mGig, 4x10G Uplink, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,,Yes,On-Prem,L3,1196,64MB,1MB,100Gbps,2.5μs,"USB, Network",48 x 10G Ethernet,Performance,CORE,20366.33,19049.84864789403,15620.79136031896,1 Year,NBD,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",37.93,34.02,2.93,11.78,Out of Stock,Active,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L 48-port, 12mGig, 4x10G Uplink, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
39,C9300L-STAK-KIT2-M,1,"C9300L Stacking KIT2, w/MERAKI",Switches,Meraki MS Hardware,Accessory,48,10G,,Yes,Controller,L3,74,512MB,1MB,50Gbps,1.5μs,"USB, Network",48 x 10G Ethernet,Essential,CORE,2482.35,2138.104282183192,1750.077852368622,Lifetime,4HR,ARM 1.5GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",33.32,37.2,2.11,4.98,In Stock,Active,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300L Stacking KIT2, w/MERAKI",,Accessory,,,,,,,,,,,,
980,C9300X-12Y-A-RF,1,"Catalyst 9300X 12-port 25/10G SFP+, NW-A,NoPS REMANUFACTURED",Switches,MS Hardware,Accessory,12,10G,,Yes,Controller,L3,998,512MB,8MB,400Gbps,2.5μs,"Console, Network",12 x 10G Ethernet,Performance,CORE,669.33,578.0980407057458,508.2859645688491,3 Years,Next Day,x86 1.0GHz,-5 to 45°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",35.4,23.03,4.34,5.95,Out of Stock,Active,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Catalyst 9300X 12-port 25/10G SFP+, NW-A,NoPS REMANUFACTURED",,Accessory,,,,,,,,,,,,
40,C9300X-24HX-M,1,"C9300X 24-port mGig UPoE+, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,24,10G,,No,Controller,L2,573,128MB,1MB,400Gbps,1.5μs,"USB, Network",24 x 10G Ethernet,Premium,CORE,4557.68,4312.661511230535,3474.899677519611,1 Year,4HR,x86 1.8GHz,0 to 40°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",17.1,28.3,3.42,8.14,Limited Stock,EoL,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 24-port mGig UPoE+, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
41,C9300X-24Y-M,1,"C9300X 24x25GE SFP+, 715wac PS, w/MERAKI",Switches,Meraki MS Hardware,Accessory,24,10G,,No,On-Prem,L3,777,256MB,4MB,100Gbps,1.5μs,"Console, USB, Network",24 x 10G Ethernet,Performance,CORE,1765.03,1638.15805041129,1241.443678090147,3 Years,NBD,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",23.05,28.15,2.2,14.65,Out of Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 24x25GE SFP+, 715wac PS, w/MERAKI",,Accessory,,,,,,,,,,,,
950,C9300X-48HX-M,1,"C9300X 48-port mGig UPoE+, 1100wac PS, w/MERAKI",Switches,MS Hardware,Hardware,48,10G,,No,Controller,L3,709,512MB,4MB,400Gbps,3.0μs,"Console, USB, Network",48 x 10G Ethernet,Performance,CORE,1562.45,1371.980973104295,1184.332096838569,Lifetime,4HR,x86 1.8GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",38.16,28.93,4.57,4.98,In Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 48-port mGig UPoE+, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
43,C9300X-48HXN-M,1,"C9300X 48-port, 8xmGig+40x5G UPOE+, 1100wac PS, w/MERAKI",Switches,Meraki MS Hardware,Hardware,48,10G,,No,Cloud Managed,L2,636,256MB,8MB,200Gbps,3.0μs,"Console, USB, Network",48 x 10G Ethernet,Essential,CORE,1985.88,1689.278480853185,1538.943865155069,3 Years,24HR,ARM 1.5GHz,0 to 40°C,-40 to 70°C,5% to 95%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",35.79,29,1.96,10.45,Out of Stock,EoL,ICW-ONLY,12,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 48-port, 8xmGig+40x5G UPOE+, 1100wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
960,C9300X-48TX-M,1,"C9300X 48-port mGig data only, 715wac PS, w/MERAKI",Switches,MS Hardware,Hardware,48,10G,,No,On-Prem,L2,1171,64MB,4MB,200Gbps,2.0μs,"Console, USB, Network",48 x 10G Ethernet,Performance,CORE,5020.51,4301.922739569037,3822.569479275744,3 Years,NBD,ARM 1.5GHz,-5 to 45°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",33.77,28.08,3.16,12.64,In Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 48-port mGig data only, 715wac PS, w/MERAKI",,Hardware,,,,,,,,,,,,
966,C9300X-NM-2C-M,1,"C9300X 2-port 40G/100G SFP+ Network Module, w/MERAKI",Switches,MS Hardware,Accessory,48,10G,,Yes,On-Prem,L2,267,512MB,1MB,50Gbps,2.5μs,"Console, USB, Network",48 x 10G Ethernet,Premium,CORE,1769.17,1542.199964300424,1284.481973869251,Lifetime,24HR,x86 1.8GHz,-5 to 45°C,-40 to 85°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",33.76,36.25,1.17,12.14,Limited Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 2-port 40G/100G SFP+ Network Module, w/MERAKI",,Accessory,,,,,,,,,,,,
44,C9300X-NM-8Y-M,1,"C9300X 8-port 1/10/25G SFP+ Network Module, w/MERAKI",Switches,Meraki MS Hardware,Accessory,8,10G,,No,On-Prem,L3,307,512MB,1MB,50Gbps,2.5μs,"Console, USB, Network",8 x 10G Ethernet,Premium,CORE,3242.38,2878.058692125461,2719.46196015553,5 Years,Next Day,x86 1.8GHz,0 to 50°C,-40 to 85°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",21.75,24.33,2.56,2.22,In Stock,EoS,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9300X 8-port 1/10/25G SFP+ Network Module, w/MERAKI",,Accessory,,,,,,,,,,,,
14,CAB-SPWR-150CM-M,1,"C9000 Stack Power Cable 150 CM, w/MERAKI",Switches,Meraki MS Hardware,Accessory,48,1G,PoE++,No,Controller,L2,656,64MB,4MB,200Gbps,3.0μs,"Console, Network",48 x 1G Ethernet,Essential,CORE,5913.17,5177.725634481015,4981.328799976286,Lifetime,NBD,x86 1.8GHz,0 to 40°C,-40 to 85°C,5% to 95%,"IEEE 802.3, IEEE 802.1D, IEEE 802.1Q","Switch, Power Supply, Quick Start Guide",16.46,39.78,2.15,7.04,Limited Stock,EoL,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9000 Stack Power Cable 150 CM, w/MERAKI",,Accessory,,,,,,,,,,,,
15,CAB-SPWR-30CM-M,1,"C9000 Stack Power Cable 30 CM, w/MERAKI",Switches,Meraki MS Hardware,Accessory,24,Multi-Gig,UPOE,Yes,On-Prem,L2,284,64MB,1MB,100Gbps,3.0μs,"Console, USB, Network",24 x Multi-Gig Ethernet,Essential,CORE,11225.85,10045.75811832789,8965.426818948277,Lifetime,Next Day,x86 1.0GHz,0 to 50°C,-40 to 70°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supplies (2), Quick Start Guide",38.65,34.42,1.29,3.92,Out of Stock,EoS,ICW-ONLY,84,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9000 Stack Power Cable 30 CM, w/MERAKI",,Accessory,,,,,,,,,,,,
13,FAN-T2-M,1,"C9000 Fan module, w/MERAKI",Switches,Meraki MS Hardware,Accessory,12,1G,,No,On-Prem,L2,979,64MB,8MB,400Gbps,1.5μs,"Console, USB, Network",12 x 1G Ethernet,Premium,CORE,8724.66,7672.197633445715,7006.984968713383,1 Year,4HR,x86 1.0GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3bt, IEEE 802.1AB, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",15.01,31.2,1.77,11.01,In Stock,EoL,ICW-ONLY,36,Product,Standard,Sheet1,Cisco Switches MS,Switches,"C9000 Fan module, w/MERAKI",,Accessory,,,,,,,,,,,,
1149,FED-C9300-24A-10Y,1,"Meraki FedRamp Advanced License for C9300-M 24-port,10year",Switches,MS License,License,24,1G,,Yes,Cloud Managed,L2,98,128MB,1MB,200Gbps,3.0μs,"USB, Network",24 x 1G Ethernet,Premium,CORE,7797.2,7344.92437068836,5781.258059346603,Lifetime,NBD,x86 1.8GHz,0 to 50°C,-40 to 85°C,5% to 95%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Rack Mount Kit, Quick Start Guide",43.09,20.84,4.82,14.47,In Stock,Active,ICW-ONLY,120,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRamp Advanced License for C9300-M 24-port,10year",,License,,,,,,,,,,,,
1150,FED-C9300-24A-1Y,1,"Meraki FedRamp Advanced License for C9300-M 24-port,1year",Switches,MS License,License,24,Multi-Gig,,Yes,Cloud Managed,L3,988,128MB,2MB,200Gbps,2.5μs,"USB, Network",24 x Multi-Gig Ethernet,Performance,CORE,1930.73,1649.778681452707,1491.565385933434,5 Years,NBD,ARM 1.5GHz,0 to 50°C,-40 to 70°C,10% to 90%,"IEEE 802.3az, IEEE 802.1x, IEEE 802.1D","Switch, Power Supply, Quick Start Guide",34.04,33.31,2.36,5.41,Limited Stock,Active,ICW-ONLY,60,Product,Standard,Sheet1,Cisco Switches MS,Switches,"Meraki FedRamp Advanced License for C9300-M 24-port,1year",,License,,,,,,,,,,,,
